episode,max_tile,episode_reward,episode_steps
831,256,3352,324
832,256,3164,336
833,512,6608,436
834,256,3100,378
835,256,3708,404
836,128,1072,121
837,256,2376,292
838,512,5776,397
839,256,3040,234
840,256,2300,187
841,128,1936,200
842,256,2388,327
843,512,5436,426
844,256,2956,322
845,128,1372,182
846,128,1316,172
847,512,6340,812
848,512,5544,469
849,1024,11324,898
850,512,6252,427
851,512,5444,450
852,256,2712,266
853,256,3800,332
854,256,3112,284
855,512,4876,456
856,512,5392,412
857,256,3108,433
858,256,3372,327
859,512,5436,433
860,512,5460,501
861,128,1432,155
862,128,1476,157
863,256,3116,262
864,256,2852,224
865,512,5300,455
866,512,6028,466
867,512,6696,519
868,512,6272,476
869,256,3108,424
870,128,1548,203
871,512,6704,660
872,512,5376,484
873,256,2268,261
874,128,1744,230
875,256,3104,450
876,512,6920,514
877,512,7656,693
878,128,1336,142
879,512,6724,517
880,256,3204,285
881,256,2944,282
882,512,4920,386
883,1024,11280,696
884,256,3204,321
885,512,6688,672
886,256,2976,324
887,32,324,76
888,256,3348,404
889,512,5288,440
890,1024,10484,617
891,512,5096,387
892,128,1756,164
893,256,3244,449
894,256,2780,249
895,512,6188,540
896,512,8276,898
897,256,3392,257
898,512,6156,498
899,256,3348,397
900,128,1272,132
901,256,2740,288
902,512,4808,619
903,256,3356,290
904,512,6956,531
905,128,1236,120
906,512,7748,642
907,256,2408,288
908,256,3100,274
909,512,4808,391
910,256,3124,282
911,512,6488,475
912,256,3088,288
913,128,1520,140
914,512,5484,782
915,512,6628,616
916,256,3020,333
917,256,3356,338
918,512,4732,326
919,1024,11564,845
920,512,5888,575
921,512,6184,483
922,256,2988,267
923,1024,11568,675
924,512,6876,689
925,256,3064,242
926,256,3232,297
927,256,3316,297
928,256,3344,388
929,256,4644,419
930,512,6060,477
931,128,1440,226
932,256,2608,314
933,128,1408,143
934,512,5212,419
935,256,3216,323
936,512,4604,332
937,128,1440,221
938,256,4448,352
939,512,5692,468
940,512,6964,631
941,512,5188,363
942,512,6896,559
943,128,1332,135
944,256,2984,240
945,256,2976,226
946,512,6376,557
947,512,5012,696
948,256,4284,525
949,512,6180,488
950,512,5300,395
951,256,3096,297
952,256,3096,330
953,512,6756,582
954,512,5500,451
955,512,5540,482
956,256,3052,316
957,512,5248,401
958,256,3320,326
959,512,4484,302
960,512,5312,434
961,256,2376,233
962,512,7052,565
963,512,7132,664
964,128,1336,158
965,512,4948,369
966,512,5088,398
967,256,3164,396
968,256,3456,357
969,128,1384,210
970,512,5408,354
971,256,2944,274
972,128,1528,344
973,512,6892,546
974,256,4700,400
975,1024,13916,899
976,256,2776,267
977,512,5592,536
978,256,3004,286
979,512,4996,328
980,512,6156,398
981,512,7016,517
982,128,1188,173
983,512,6164,410
984,256,3044,364
985,512,4888,396
986,512,6032,622
987,256,3000,263
988,256,2988,332
989,256,3432,330
990,512,6724,597
991,256,2380,224
992,128,1340,161
993,256,2712,248
994,256,2480,280
995,1024,10032,863
996,512,6948,674
997,256,2972,260
998,256,2964,343
999,256,2440,313
1000,512,6372,574
1001,256,2924,392
1002,512,6692,715
1003,256,3080,296
1004,256,3304,388
1005,512,5324,480
1006,64,604,147
1007,256,2964,308
1008,512,9220,878
1009,1024,12420,1058
1010,512,5836,386
1011,512,5288,412
1012,512,6332,731
1013,512,5436,492
1014,128,2204,204
1015,256,3264,309
1016,256,3044,239
1017,512,5144,351
1018,128,2104,238
1019,512,5196,419
1020,512,6820,446
1021,256,3096,334
1022,256,2232,200
1023,1024,10308,743
1024,128,2016,222
1025,256,2292,237
1026,256,3024,374
1027,512,6296,610
1028,512,4564,366
1029,256,2344,229
1030,512,6204,443
1031,512,6960,493
1032,256,2280,187
1033,512,6324,407
1034,256,3160,277
1035,256,3180,328
1036,256,3532,304
1037,512,5496,613
1038,512,5280,450
1039,128,1308,182
1040,256,3056,279
1041,256,2748,248
1042,512,6924,588
1043,256,2988,258
1044,512,6352,466
1045,512,5864,367
1046,512,5252,504
1047,512,7000,713
1048,128,1364,221
1049,256,3172,271
1050,256,3384,326
1051,1024,10172,745
1052,256,3100,265
1053,256,3020,306
1054,512,5368,452
1055,512,6776,562
1056,256,3168,326
1057,256,3080,330
1058,256,3752,304
1059,256,2952,383
1060,512,6576,628
1061,512,6188,523
1062,512,5292,456
1063,256,2992,257
1064,128,1388,286
1065,256,3092,275
1066,512,5252,357
1067,512,5408,387
1068,64,576,74
1069,128,952,101
1070,128,2076,260
1071,256,3188,326
1072,512,5304,463
1073,256,2980,239
1074,256,3232,260
1075,256,2976,269
1076,256,3724,368
1077,256,3112,297
1078,256,3344,354
1079,512,5268,462
1080,512,5360,443
1081,128,1112,200
1082,512,6908,747
1083,256,3352,577
1084,256,2968,301
1085,256,3308,363
1086,512,4784,349
1087,128,1428,200
1088,512,6756,609
1089,256,2364,224
1090,128,1284,159
1091,128,2024,197
1092,256,2280,215
1093,512,6872,490
1094,512,4764,342
1095,512,6280,612
1096,256,3080,309
1097,512,6132,457
1098,256,2708,221
1099,512,5488,679
1100,128,1612,263
1101,256,3096,251
1102,256,2948,395
1103,512,4592,361
1104,256,4240,426
1105,512,6816,594
1106,512,5248,497
1107,512,6840,505
1108,512,6228,565
1109,512,5216,391
1110,256,3192,252
1111,256,2632,266
1112,512,5196,370
1113,256,3580,303
1114,512,5656,474
1115,256,3064,236
1116,256,3068,279
1117,128,2112,210
1118,256,3084,267
1119,256,3256,268
1120,512,5224,536
1121,256,3076,336
1122,512,6892,576
1123,256,3220,254
1124,512,6732,563
1125,256,2300,219
1126,256,3308,289
1127,256,3060,357
1128,512,7564,685
1129,512,6936,684
1130,256,2380,240
1131,512,6948,1025
1132,256,3280,389
1133,256,3108,245
1134,512,5228,544
1135,128,1412,217
1136,256,2760,246
1137,512,6716,657
1138,256,3000,418
1139,512,6608,588
1140,512,6516,829
1141,128,1372,180
1142,512,7916,734
1143,256,2288,216
1144,256,2820,229
1145,256,3020,292
1146,512,7004,892
1147,256,3644,416
1148,256,3036,281
1149,256,4776,463
1150,512,5212,436
1151,512,7340,591
1152,512,5120,359
1153,256,2696,222
1154,512,6892,711
1155,256,3232,464
1156,512,4792,459
1157,512,5488,465
1158,1024,10164,818
1159,512,5172,462
1160,512,6868,629
1161,512,5628,533
1162,1024,11244,700
1163,512,6228,537
1164,256,2916,259
1165,512,5908,492
1166,128,1592,367
1167,512,6892,496
1168,256,2960,306
1169,256,3824,374
1170,512,6964,704
1171,256,2924,306
1172,256,2756,231
1173,512,5180,406
1174,512,6936,503
1175,128,1332,208
1176,256,3060,320
1177,256,2368,229
1178,512,8184,743
1179,512,5108,414
1180,256,2576,260
1181,512,5504,461
1182,512,5376,510
1183,128,1264,225
1184,256,3012,320
1185,128,2040,533
1186,512,6020,408
1187,512,6872,758
1188,512,6876,584
1189,256,2964,268
1190,256,3024,274
1191,256,3288,358
1192,256,2204,190
1193,256,4276,400
1194,512,6624,588
1195,256,3776,312
1196,1024,12520,930
1197,512,5220,360
1198,512,6396,621
1199,128,1556,178
1200,512,5816,553
1201,1024,13900,997
1202,256,4048,412
1203,256,3000,378
1204,512,6732,522
1205,256,3032,265
1206,256,3084,281
1207,512,6852,586
1208,256,4048,401
1209,512,5532,631
1210,256,3300,384
1211,512,7072,654
1212,512,6216,439
1213,512,6984,528
1214,256,2800,248
1215,512,4632,359
1216,256,3068,319
1217,512,6932,775
1218,256,2800,314
1219,512,4732,319
1220,256,3028,350
1221,256,3520,296
1222,512,6644,526
1223,256,3200,421
1224,512,6884,505
1225,256,2996,271
