episode,episode_steps,episode_reward,max_tile
785,222,2380,256
786,612,6644,512
787,318,3504,256
788,138,1384,128
789,511,6732,512
790,446,6260,512
791,387,4024,256
792,248,2348,256
793,262,3172,256
794,340,3976,256
795,417,5312,512
796,442,4584,256
797,273,3096,256
798,404,5628,512
799,804,7240,512
800,462,6060,512
801,606,6980,512
802,488,6352,512
803,532,6164,512
804,257,2824,256
805,392,5256,512
806,584,2964,256
807,511,6040,512
808,478,6852,512
809,624,6460,512
810,588,6048,512
811,452,5792,512
812,371,2700,256
813,261,3000,256
814,376,3988,256
815,536,6948,512
816,414,2856,256
817,271,3044,256
818,1009,11580,1024
819,747,6544,512
820,287,3072,256
821,467,3328,256
822,189,2224,256
823,238,2844,256
824,622,4668,256
825,743,9044,512
826,312,2860,256
827,473,6244,512
828,228,2396,256
829,384,2644,256
830,267,2872,256
831,324,3352,256
832,336,3164,256
833,436,6608,512
834,378,3100,256
835,404,3708,256
836,121,1072,128
837,292,2376,256
838,397,5776,512
839,234,3040,256
840,187,2300,256
841,200,1936,128
842,327,2388,256
843,426,5436,512
844,322,2956,256
845,182,1372,128
846,172,1316,128
847,812,6340,512
848,469,5544,512
849,898,11324,1024
850,427,6252,512
851,450,5444,512
852,266,2712,256
853,332,3800,256
854,284,3112,256
855,456,4876,512
856,412,5392,512
857,433,3108,256
858,327,3372,256
859,433,5436,512
860,501,5460,512
861,155,1432,128
862,157,1476,128
863,262,3116,256
864,224,2852,256
865,455,5300,512
866,466,6028,512
867,519,6696,512
868,476,6272,512
869,424,3108,256
870,203,1548,128
871,660,6704,512
872,484,5376,512
873,261,2268,256
874,230,1744,128
875,450,3104,256
876,514,6920,512
877,693,7656,512
878,142,1336,128
879,517,6724,512
880,285,3204,256
881,282,2944,256
882,386,4920,512
883,696,11280,1024
884,321,3204,256
885,672,6688,512
886,324,2976,256
887,76,324,32
888,404,3348,256
889,440,5288,512
890,617,10484,1024
891,387,5096,512
892,164,1756,128
893,449,3244,256
894,249,2780,256
895,540,6188,512
896,898,8276,512
897,257,3392,256
898,498,6156,512
899,397,3348,256
900,132,1272,128
901,288,2740,256
902,619,4808,512
903,290,3356,256
904,531,6956,512
905,120,1236,128
906,642,7748,512
907,288,2408,256
908,274,3100,256
909,391,4808,512
910,282,3124,256
911,475,6488,512
912,288,3088,256
913,140,1520,128
914,782,5484,512
915,616,6628,512
916,333,3020,256
917,338,3356,256
918,326,4732,512
919,845,11564,1024
920,575,5888,512
921,483,6184,512
922,267,2988,256
923,675,11568,1024
924,689,6876,512
925,242,3064,256
926,297,3232,256
927,297,3316,256
928,388,3344,256
929,419,4644,256
930,477,6060,512
931,226,1440,128
932,314,2608,256
933,143,1408,128
934,419,5212,512
935,323,3216,256
936,332,4604,512
937,221,1440,128
938,352,4448,256
939,468,5692,512
940,631,6964,512
941,363,5188,512
942,559,6896,512
943,135,1332,128
944,240,2984,256
945,226,2976,256
946,557,6376,512
947,696,5012,512
948,525,4284,256
949,488,6180,512
950,395,5300,512
951,297,3096,256
952,330,3096,256
953,582,6756,512
954,451,5500,512
955,482,5540,512
956,316,3052,256
957,401,5248,512
958,326,3320,256
959,302,4484,512
960,434,5312,512
961,233,2376,256
962,565,7052,512
963,664,7132,512
964,158,1336,128
965,369,4948,512
966,398,5088,512
967,396,3164,256
968,357,3456,256
969,210,1384,128
970,354,5408,512
971,274,2944,256
972,344,1528,128
973,546,6892,512
974,400,4700,256
975,899,13916,1024
976,267,2776,256
977,536,5592,512
978,286,3004,256
979,328,4996,512
980,398,6156,512
981,517,7016,512
982,173,1188,128
983,410,6164,512
984,364,3044,256
985,396,4888,512
986,622,6032,512
987,263,3000,256
988,332,2988,256
989,330,3432,256
990,597,6724,512
991,224,2380,256
992,161,1340,128
993,248,2712,256
994,280,2480,256
995,863,10032,1024
996,674,6948,512
997,260,2972,256
998,343,2964,256
999,313,2440,256
1000,574,6372,512
1001,392,2924,256
1002,715,6692,512
1003,296,3080,256
1004,388,3304,256
1005,480,5324,512
1006,147,604,64
1007,308,2964,256
1008,878,9220,512
1009,1058,12420,1024
1010,386,5836,512
1011,412,5288,512
1012,731,6332,512
1013,492,5436,512
1014,204,2204,128
1015,309,3264,256
1016,239,3044,256
1017,351,5144,512
1018,238,2104,128
1019,419,5196,512
1020,446,6820,512
1021,334,3096,256
1022,200,2232,256
1023,743,10308,1024
1024,222,2016,128
1025,237,2292,256
1026,374,3024,256
1027,610,6296,512
1028,366,4564,512
1029,229,2344,256
1030,443,6204,512
1031,493,6960,512
1032,187,2280,256
1033,407,6324,512
1034,277,3160,256
1035,328,3180,256
